antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({13176}),frozenset({17794}),0.11955470481563571,0.022849083215796897,0.004039895224662502,0.03379118564085278,1.47888584070152,1.0,0.0013081798254900075,1.0113247801742664,0.3677858093543844,0.0291976117664191,0.011197965674602515,0.10529947289097312
frozenset({17794}),frozenset({13176}),0.022849083215796897,0.11955470481563571,0.004039895224662502,0.17680776014109345,1.4788858407015197,1.0,0.0013081798254900075,1.0695500425699722,0.33138717870450873,0.0291976117664191,0.06502738516362792,0.10529947289097312
frozenset({17794}),frozenset({47766}),0.022849083215796897,0.05419101349989926,0.002226475921821479,0.0974426807760141,1.7981335738663617,1.0,0.0009882609448139076,1.0479212415155,0.454246914612354,0.029760301642876373,0.04572981214332144,0.06926419221920244
frozenset({47766}),frozenset({17794}),0.05419101349989926,0.022849083215796897,0.002226475921821479,0.041085703662390775,1.7981335738663617,1.0,0.0009882609448139076,1.0190179878600674,0.4692996105930001,0.029760301642876373,0.018663054123318507,0.06926419221920244
frozenset({17794}),frozenset({22935}),0.022849083215796897,0.03471690509772315,0.0032540801934313923,0.1424162257495591,4.102215486912721,1.0,0.0024608307398585926,1.125584606292218,0.7739124761366806,0.05991467260248563,0.11157278234810399,0.11807404438957932
frozenset({22935}),frozenset({17794}),0.03471690509772315,0.022849083215796897,0.0032540801934313923,0.09373186302959954,4.102215486912721,1.0,0.0024608307398585926,1.0782139158624284,0.783427462431888,0.05991467260248563,0.07254025821014157,0.11807404438957932
frozenset({17794}),frozenset({27966}),0.022849083215796897,0.04269595003022365,0.0015817046141446706,0.06922398589065257,1.6213244076229765,1.0,0.0006061412989265844,1.0285009878405746,0.39218127123755175,0.02472830366986927,0.027711191508347267,0.053134881100116285
frozenset({27966}),frozenset({17794}),0.04269595003022365,0.022849083215796897,0.0015817046141446706,0.037045776309579996,1.6213244076229765,1.0,0.0006061412989265844,1.014742853548506,0.40031198943268526,0.02472830366986927,0.014528659647073063,0.053134881100116285
frozenset({17794}),frozenset({37646}),0.022849083215796897,0.023584525488615758,0.0011686479951642152,0.05114638447971782,2.1686416588879927,1.0,0.0006297632096697508,1.0290475354051205,0.5514827387114758,0.025817939016247498,0.028227593386815696,0.05034892910444669
frozenset({37646}),frozenset({17794}),0.023584525488615758,0.022849083215796897,0.0011686479951642152,0.049551473729175566,2.168641658887992,1.0,0.0006297632096697508,1.0280945151423908,0.5518981189767068,0.025817939016247498,0.02732678243935548,0.05034892910444669
frozenset({17794}),frozenset({5876}),0.022849083215796897,0.02755389885150111,0.001682450130969172,0.07363315696649031,2.6723316857381456,1.0,0.0010528688031915725,1.04974191213936,0.6404281506271522,0.03453267162944583,0.047384896767612816,0.067346743017066
frozenset({5876}),frozenset({17794}),0.02755389885150111,0.022849083215796897,0.001682450130969172,0.06106032906764168,2.672331685738145,1.0,0.0010528688031915725,1.0406961672137054,0.6435266219697356,0.03453267162944583,0.0391047536214751,0.067346743017066
frozenset({21137}),frozenset({17794}),0.08198670159177916,0.022849083215796897,0.0031130364698770904,0.03797001720324404,1.6617742096975325,1.0,0.0012397155026178204,1.015717736721145,0.43379930416556656,0.030603149450331782,0.015474512409209044,0.08710670172331514
frozenset({17794}),frozenset({21137}),0.022849083215796897,0.08198670159177916,0.0031130364698770904,0.13624338624338625,1.6617742096975325,1.0,0.0012397155026178204,1.0628147834557657,0.4075455727706899,0.030603149450331782,0.05910228614954149,0.08710670172331514
frozenset({17794}),frozenset({24852}),0.022849083215796897,0.1486903082812815,0.004966753979447914,0.21737213403880068,1.4619119198246056,1.0,0.0015693167521464188,1.0877579610242554,0.3233525710993164,0.029817346074755044,0.08067783842429503,0.12538774057451924
